Cust_id,age,job,marital,education,default,balance,housing,loan
ABC10007,25,services,married,secondary,no,66,yes,no
ABC10043,28,services,married,secondary,no,267,yes,no
ABC10081,27,blue-collar,married,unknown,no,555,no,no
ABC10176,23,student,married,secondary,no,1284,yes,no
ABC10203,28,blue-collar,married,tertiary,no,-803,yes,yes
ABC1047,23,management,married,tertiary,no,2605,yes,no
ABC10279,25,management,married,tertiary,no,8828,no,no
ABC10422,27,services,married,secondary,no,18188,yes,no
ABC10455,24,blue-collar,married,secondary,yes,-203,yes,no
ABC105,27,blue-collar,married,tertiary,no,0,yes,no
ABC1053,27,student,married,secondary,no,671,yes,no
ABC10698,28,blue-collar,married,secondary,no,235,yes,no
ABC1078,27,blue-collar,married,secondary,no,0,yes,no
ABC11049,25,blue-collar,married,secondary,no,1116,no,yes
ABC11058,26,management,married,primary,no,71,no,no
ABC10949,26,blue-collar,married,tertiary,no,110,no,no
ABC11064,27,blue-collar,married,secondary,no,370,yes,no
ABC11073,24,blue-collar,married,secondary,no,2355,yes,no
ABC11109,28,management,married,tertiary,no,2253,yes,no
ABC11134,27,blue-collar,married,secondary,no,629,yes,yes
ABC11139,25,services,married,unknown,no,-501,yes,yes
ABC11143,28,blue-collar,married,secondary,no,975,yes,no
ABC11302,28,blue-collar,married,secondary,no,623,no,no
ABC11509,23,blue-collar,married,secondary,no,-782,yes,yes
ABC11518,20,services,married,secondary,no,66,yes,no
ABC1155,28,services,married,secondary,no,260,yes,no
ABC11581,28,blue-collar,married,secondary,no,593,yes,no
ABC11583,25,student,married,secondary,no,722,yes,no
ABC11147,27,services,married,secondary,no,-97,yes,no
ABC11586,28,blue-collar,married,primary,no,2340,yes,no
ABC11596,28,blue-collar,married,tertiary,no,940,yes,no
ABC11606,26,blue-collar,married,secondary,no,-859,yes,no
ABC1179,25,management,married,tertiary,no,1348,yes,no
ABC11833,20,student,married,secondary,no,-322,yes,no
ABC11915,24,blue-collar,married,primary,no,126,yes,no
ABC11948,24,unemployed,married,tertiary,no,39,yes,no
ABC12027,27,blue-collar,married,primary,no,553,yes,no
ABC1206,26,blue-collar,married,secondary,no,2087,no,no
ABC12096,28,management,married,secondary,no,311,yes,no
ABC12101,26,student,married,secondary,no,715,yes,no
ABC12192,26,blue-collar,married,secondary,no,1275,yes,no
ABC12197,25,blue-collar,married,secondary,no,94,yes,yes
ABC12216,28,blue-collar,married,secondary,no,-267,yes,no
ABC12230,25,services,married,secondary,no,3856,yes,no
ABC12253,22,blue-collar,married,secondary,no,4659,yes,no
ABC12254,25,blue-collar,married,secondary,no,-350,yes,no
ABC1226,27,student,married,secondary,no,81,yes,no
ABC12283,25,entrepreneur,married,tertiary,no,0,no,no
ABC1232,27,services,married,secondary,no,181,yes,no
ABC12331,28,management,married,tertiary,no,282,yes,no
ABC12343,25,services,married,secondary,no,681,yes,no
ABC11623,27,blue-collar,married,secondary,no,61,yes,no
ABC11632,25,blue-collar,married,secondary,no,-191,yes,no
ABC12346,26,blue-collar,married,secondary,no,-266,no,yes
