Cust_id,campaign,pdays,previous,poutcome
ABC1,1,1,0,unknown
ABC2,1,2,0,unknown
ABC3,1,3,0,unknown
ABC4,1,4,0,unknown
ABC5,1,1,0,unknown
ABC6,1,2,0,unknown
ABC7,1,3,0,unknown
ABC8,1,4,0,unknown
ABC9,1,12,0,unknown
ABC10,1,10,0,unknown
ABC11,1,6,0,unknown
ABC12,1,5,0,unknown
ABC13,1,2,0,unknown
ABC14,1,4,0,unknown
ABC15,1,67,0,unknown
ABC16,1,23,0,unknown
ABC17,1,-1,0,unknown
ABC18,1,-1,0,unknown
ABC19,1,-1,0,unknown
ABC20,1,-1,0,unknown
ABC21,1,-1,0,unknown
ABC22,1,-1,0,unknown
ABC23,1,-1,0,unknown
ABC24,1,-1,0,unknown
ABC25,1,-1,0,unknown
ABC26,1,-1,0,unknown
ABC27,1,-1,0,unknown
ABC28,1,-1,0,unknown
ABC29,2,-1,0,unknown
ABC30,1,-1,0,unknown
ABC31,1,-1,0,unknown
ABC32,1,-1,0,unknown
ABC33,1,-1,0,unknown
ABC34,1,-1,0,unknown
ABC35,1,-1,0,unknown
ABC36,1,-1,0,unknown
ABC37,1,-1,0,unknown
ABC38,1,-1,0,unknown
ABC39,1,-1,0,unknown
ABC40,1,-1,0,unknown
ABC41,1,-1,0,unknown
ABC42,2,-1,0,unknown
ABC43,1,-1,0,unknown
ABC44,1,-1,0,unknown
ABC45,1,-1,0,unknown
ABC46,1,-1,0,unknown
ABC47,1,-1,0,unknown
ABC48,2,-1,0,unknown
ABC49,1,-1,0,unknown
ABC50,1,-1,0,unknown
ABC51,1,-1,0,unknown
ABC52,1,-1,0,unknown
ABC53,1,-1,0,unknown
ABC54,1,-1,0,unknown
ABC55,1,-1,0,unknown
ABC56,1,-1,0,unknown
ABC57,1,-1,0,unknown
ABC58,1,-1,0,unknown
ABC59,1,-1,0,unknown
ABC60,1,-1,0,unknown
ABC61,1,-1,0,unknown
ABC62,1,-1,0,unknown
ABC63,1,-1,0,unknown
ABC64,1,-1,0,unknown
ABC65,1,-1,0,unknown
ABC66,1,-1,0,unknown
ABC67,1,-1,0,unknown
ABC68,1,-1,0,unknown
ABC69,2,-1,0,unknown
ABC70,1,-1,0,unknown
ABC71,1,-1,0,unknown
ABC72,1,-1,0,unknown
ABC73,1,-1,0,unknown
ABC74,1,-1,0,unknown
ABC75,1,-1,0,unknown
ABC76,1,-1,0,unknown
ABC77,1,-1,0,unknown
ABC78,1,-1,0,unknown
ABC79,1,-1,0,unknown
ABC80,1,-1,0,unknown
ABC81,1,-1,0,unknown
ABC82,1,-1,0,unknown
ABC83,1,-1,0,unknown
ABC84,1,-1,0,unknown
ABC85,1,-1,0,unknown
