Cust_id,contact,day,month,year,duration
ABC12658,broker,4,jul,2008,255
ABC12659,broker,4,jul,2008,297
ABC12660,broker,4,jul,2008,668
ABC12662,broker,4,jul,2008,436
ABC12663,broker,4,jul,2008,1044
ABC12665,broker,4,jul,2008,39
ABC12667,broker,4,jul,2008,135
ABC12668,broker,4,jul,2008,53
ABC12669,broker,4,jul,2008,138
ABC12670,broker,4,jul,2008,178
ABC12671,broker,4,jul,2008,548
ABC12672,broker,4,jul,2008,134
ABC12673,broker,4,jul,2008,95
ABC12674,broker,4,jul,2008,273
ABC12676,broker,4,jul,2008,425
ABC12677,broker,4,jul,2008,64
ABC12678,broker,4,jul,2008,276
ABC12679,broker,4,jul,2008,92
ABC12680,broker,4,jul,2008,407
ABC12681,broker,7,jul,2008,147
ABC12682,broker,7,jul,2008,148
ABC12683,broker,7,jul,2008,125
ABC12684,broker,7,jul,2008,151
ABC12685,broker,7,jul,2008,491
ABC12686,broker,7,jul,2008,494
ABC12687,broker,7,jul,2008,615
ABC12688,broker,7,jul,2008,152
ABC12689,broker,7,jul,2008,164
ABC12690,broker,7,jul,2008,575
ABC12691,broker,7,jul,2008,17
ABC12692,broker,7,jul,2008,316
ABC12693,broker,7,jul,2008,148
ABC12694,broker,7,jul,2008,160
ABC12695,broker,7,jul,2008,181
ABC12696,broker,7,jul,2008,89
ABC12697,broker,7,jul,2008,111
ABC12698,broker,7,jul,2008,142
ABC12699,broker,7,jul,2008,119
ABC12700,broker,7,jul,2008,107
ABC12701,broker,7,jul,2008,227
ABC12702,broker,7,jul,2008,149
ABC12703,broker,7,jul,2008,134
ABC12704,broker,7,jul,2008,1434
ABC12705,broker,7,jul,2008,179
ABC12708,broker,7,jul,2008,86
ABC12709,broker,7,jul,2008,113
ABC12710,broker,7,jul,2008,200
ABC12711,broker,7,jul,2008,196
ABC12712,broker,7,jul,2008,250
ABC12713,broker,7,jul,2008,450
ABC12714,broker,7,jul,2008,185
ABC12715,broker,7,jul,2008,75
ABC12716,broker,7,jul,2008,136
ABC12718,broker,7,jul,2008,200
ABC12719,broker,7,jul,2008,718
ABC12720,broker,7,jul,2008,139
ABC12721,broker,7,jul,2008,161
ABC12722,broker,7,jul,2008,141
ABC12723,broker,7,jul,2008,256
ABC12724,broker,7,jul,2008,39
ABC12725,broker,7,jul,2008,49
ABC12726,broker,7,jul,2008,66
ABC12727,broker,7,jul,2008,321
ABC12728,broker,7,jul,2008,434
ABC12729,broker,7,jul,2008,782
ABC12730,broker,7,jul,2008,118
ABC12731,broker,7,jul,2008,128
ABC12732,broker,7,jul,2008,104
ABC12733,broker,7,jul,2008,126
ABC12734,broker,7,jul,2008,87
ABC12735,broker,7,jul,2008,107
ABC12736,broker,7,jul,2008,1272
ABC12737,broker,7,jul,2008,401
ABC12738,broker,7,jul,2008,64
ABC12739,broker,7,jul,2008,758
ABC12740,broker,7,jul,2008,316
ABC12741,broker,7,jul,2008,277
ABC12742,broker,7,jul,2008,107
ABC12743,broker,7,jul,2008,111
ABC12744,broker,7,jul,2008,360
ABC12745,broker,7,jul,2008,461
ABC12746,broker,7,jul,2008,412
ABC12747,broker,7,jul,2008,244
ABC12748,broker,7,jul,2008,240
ABC12749,broker,7,jul,2008,62
ABC12752,broker,7,jul,2008,122
ABC12753,broker,7,jul,2008,559
ABC12754,broker,7,jul,2008,722
ABC12755,broker,7,jul,2008,64
ABC12756,broker,7,jul,2008,621
ABC12757,broker,7,jul,2008,232
ABC12759,broker,7,jul,2008,629
ABC12760,broker,7,jul,2008,1103
ABC12761,broker,7,jul,2008,317
ABC12762,broker,7,jul,2008,61
ABC12765,broker,7,jul,2008,385
ABC12766,broker,7,jul,2008,190
ABC12767,broker,7,jul,2008,61
ABC12768,broker,7,jul,2008,74
ABC12769,broker,7,jul,2008,96
ABC12771,broker,7,jul,2008,94
ABC12772,broker,7,jul,2008,56
ABC12773,broker,7,jul,2008,209
ABC12775,broker,7,jul,2008,326
ABC12776,broker,7,jul,2008,497
ABC12777,broker,7,jul,2008,21
ABC12778,broker,7,jul,2008,223
ABC12779,broker,7,jul,2008,236
ABC12780,broker,7,jul,2008,66
ABC12782,broker,7,jul,2008,459
ABC12783,broker,7,jul,2008,217
ABC12784,broker,7,jul,2008,289
ABC12785,broker,7,jul,2008,173
ABC12786,broker,7,jul,2008,130
ABC12787,broker,7,jul,2008,332
ABC12788,broker,7,jul,2008,263
ABC12789,broker,7,jul,2008,114
ABC12790,broker,7,jul,2008,166
ABC12791,broker,7,jul,2008,94
ABC12792,broker,7,jul,2008,169
ABC12793,broker,7,jul,2008,385
ABC12794,broker,7,jul,2008,248
ABC12795,broker,7,jul,2008,118
ABC12796,broker,7,jul,2008,889
ABC12797,broker,7,jul,2008,625
ABC12798,broker,7,jul,2008,199
ABC12799,broker,7,jul,2008,240
ABC12801,broker,7,jul,2008,158
ABC12802,broker,7,jul,2008,39
ABC12804,broker,7,jul,2008,174
ABC12805,broker,7,jul,2008,161
ABC12806,broker,7,jul,2008,461
ABC12807,broker,7,jul,2008,187
ABC12808,broker,7,jul,2008,201
ABC12809,broker,7,jul,2008,206
ABC12810,broker,7,jul,2008,139
ABC12811,broker,7,jul,2008,643
ABC12812,broker,7,jul,2008,262
ABC12813,broker,7,jul,2008,44
ABC12814,broker,7,jul,2008,84
ABC12815,broker,7,jul,2008,121
ABC12816,broker,7,jul,2008,60
ABC12817,broker,7,jul,2008,130
